BLE1,BLE2,BLE3,BLE4,PosX,PosY
-75,-78,-79,-75,3.839667,0.996964
-73,-78,-79,-74,4.089416,1.124573
-72,-79,-79,-73,4.511747,1.786278
-72,-78,-79,-74,4.178749,1.065017
-75,-78,-79,-73,3.839667,1.527266
-74,-78,-79,-75,3.978179,0.904623
-75,-78,-80,-74,3.839667,1.291072
-75,-79,-79,-74,4.172664,1.776139
-72,-78,-80,-75,4.178749,0.770909
-72,-77,-79,-75,3.911324,0.381359
-73,-77,-80,-74,3.821991,0.735023
-71,-79,-79,-74,4.583489,1.502256
-72,-78,-80,-74,4.178749,1.065017
-73,-79,-79,-74,4.422414,1.609639
-73,-78,-80,-75,4.089416,0.830464
-74,-77,-79,-75,3.710753,0.515073
-71,-78,-79,-74,4.250492,1.017189
-73,-79,-80,-75,4.422414,1.315531
-71,-79,-79,-75,4.583489,1.208147
-72,-78,-79,-75,4.178749,0.770909
-75,-79,-79,-75,4.172664,1.482031
-74,-77,-79,-75,3.710753,0.515073
-73,-77,-79,-75,3.821991,0.440914
-73,-78,-80,-73,4.089416,1.360767
-73,-79,-79,-75,4.422414,1.315531
-74,-77,-79,-74,3.710753,0.809181
-73,-77,-79,-75,3.821991,0.440914
-71,-78,-79,-75,4.250492,0.723081
-74,-78,-80,-75,3.978179,0.904623
-72,-78,-80,-75,4.178749,0.770909
-75,-78,-79,-74,3.839667,1.291072
-71,-78,-79,-75,4.250492,0.723081
-75,-78,-79,-75,3.839667,0.996964
-72,-78,-79,-74,4.178749,1.065017
-72,-78,-79,-75,4.178749,0.770909
-75,-78,-80,-74,3.839667,1.291072
-72,-78,-80,-74,4.178749,1.065017
-75,-78,-78,-72,3.875748,1.769509
-75,-78,-78,-70,3.677881,1.755952
-75,-78,-78,-72,3.875748,1.769509
-76,-78,-78,-72,3.758495,1.964932
-74,-79,-77,-71,4.08743,1.936083
-75,-78,-78,-70,3.677881,1.755952
-75,-78,-77,-71,3.993265,2.093025
-76,-78,-77,-74,4.292545,2.316988
-76,-78,-77,-72,3.985749,2.295967
-74,-79,-77,-71,4.08743,1.936083
-76,-78,-77,-71,3.876011,2.288448
-76,-79,-77,-72,3.985749,2.295967
-75,-78,-77,-70,3.905136,2.086986
-74,-79,-77,-73,4.333813,1.952965
-76,-78,-77,-74,4.292545,2.316988
-76,-78,-77,-73,4.122395,2.305329
-75,-79,-77,-72,4.103003,2.100544
-75,-79,-78,-74,4.182544,1.790531
-76,-78,-78,-74,4.06529,1.985953
-75,-79,-78,-73,4.012394,1.778872
-75,-78,-77,-74,4.409799,2.121565
-75,-79,-78,-71,3.76601,1.76199
-76,-78,-78,-72,3.758495,1.964932
-75,-79,-78,-71,3.76601,1.76199
-75,-78,-78,-74,4.182544,1.790531
-74,-78,-77,-74,4.503964,1.964624
-75,-78,-78,-74,4.182544,1.790531
-74,-78,-77,-74,4.503964,1.964624
-76,-78,-78,-72,3.758495,1.964932
-76,-78,-78,-73,3.89514,1.974295
-76,-78,-78,-74,4.06529,1.985953
-76,-78,-77,-72,3.985749,2.295967
-76,-78,-78,-72,3.758495,1.964932
-76,-78,-77,-73,4.122395,2.305329
-76,-78,-78,-74,4.06529,1.985953
-76,-78,-78,-73,3.89514,1.974295
-76,-79,-78,-73,3.89514,1.974295
-76,-79,-78,-74,4.06529,1.985953
-75,-78,-78,-74,4.182544,1.790531
-75,-79,-78,-72,3.875748,1.769509
-77,-80,-76,-69,3.753608,2.786749
-78,-80,-76,-69,3.571804,3.089755
-78,-80,-76,-72,3.840447,3.108162
-76,-80,-74,-70,4.234661,2.933216
-76,-80,-75,-72,4.314821,2.775315
-76,-80,-74,-72,4.432527,2.946773
-77,-79,-74,-71,4.176785,3.182594
-76,-80,-74,-69,4.163885,2.928367
-76,-79,-75,-70,4.116955,2.761758
-76,-80,-74,-71,4.322789,2.939254
-78,-80,-75,-69,3.718372,3.303254
-76,-79,-75,-72,4.314821,2.775315
-77,-80,-76,-69,3.753608,2.786749
-77,-79,-75,-69,3.900175,3.000248
-77,-80,-75,-71,4.059079,3.011136
-76,-80,-75,-69,4.046179,2.756908
-76,-80,-75,-69,4.046179,2.756908
-77,-79,-76,-71,3.912512,2.797636
-77,-79,-76,-72,4.02225,2.805156
-76,-79,-76,-70,3.970387,2.548258
-77,-80,-76,-73,4.158896,2.814518
-78,-80,-75,-72,3.987014,3.321661
-76,-79,-76,-73,4.3049,2.571178
-76,-80,-75,-71,4.205083,2.767796
-76,-80,-76,-72,4.168254,2.561816
-78,-80,-76,-71,3.730709,3.100643
-78,-79,-76,-72,3.840447,3.108162
-76,-80,-74,-73,4.569173,2.956136
-78,-80,-75,-72,3.987014,3.321661
-76,-79,-75,-72,4.314821,2.775315
-78,-79,-74,-73,4.241365,3.502482
-77,-80,-75,-73,4.305463,3.028018
